point_idx_a	point_idx_b	distance
0	1	1
0	2	2
0	3	3
0	4	4
0	5	5
0	6	6
0	7	7
0	8	8
0	9	9
0	10	10
0	11	1
0	12	1
0	13	2
0	14	3
0	15	4
0	16	5
0	17	6
0	18	7
0	19	8
0	20	9
0	21	10
0	22	2
0	23	2
0	24	2
0	25	3
0	26	4
0	27	5
0	28	6
0	29	7
0	30	8
0	31	9
0	32	10
0	33	3
0	34	3
0	35	3
0	36	3
0	37	4
0	38	5
0	39	6
0	40	7
0	41	8
0	42	9
0	43	10
0	44	4
0	45	4
0	46	4
0	47	4
0	48	4
0	49	5
0	50	6
0	51	7
0	52	8
0	53	9
0	54	10
0	55	5
0	56	5
0	57	5
0	58	5
0	59	5
0	60	5
0	61	6
0	62	7
0	63	8
0	64	9
0	65	10
0	66	6
0	67	6
0	68	6
0	69	6
0	70	6
0	71	6
0	72	6
0	73	7
0	74	8
0	75	9
0	76	10
0	77	7
0	78	7
0	79	7
0	80	7
0	81	7
0	82	7
0	83	7
0	84	7
0	85	8
0	86	9
0	87	10
0	88	8
0	89	8
0	90	8
0	91	8
0	92	8
0	93	8
0	94	8
0	95	8
0	96	8
0	97	9
0	98	10
0	99	9
0	100	9
0	101	9
0	102	9
0	103	9
0	104	9
0	105	9
0	106	9
0	107	9
0	108	9
0	109	10
0	110	10
0	111	10
0	112	10
0	113	10
0	114	10
0	115	10
0	116	10
0	117	10
0	118	10
0	119	10
0	120	10
1	2	1
1	3	2
1	4	3
1	5	4
1	6	5
1	7	6
1	8	7
1	9	8
1	10	9
1	11	1
1	12	1
1	13	1
1	14	2
1	15	3
1	16	4
1	17	5
1	18	6
1	19	7
1	20	8
1	21	9
1	22	2
1	23	2
1	24	2
1	25	2
1	26	3
1	27	4
1	28	5
1	29	6
1	30	7
1	31	8
1	32	9
1	33	3
1	34	3
1	35	3
1	36	3
1	37	3
1	38	4
1	39	5
1	40	6
1	41	7
1	42	8
1	43	9
1	44	4
1	45	4
1	46	4
1	47	4
1	48	4
1	49	4
1	50	5
1	51	6
1	52	7
1	53	8
1	54	9
1	55	5
1	56	5
1	57	5
1	58	5
1	59	5
1	60	5
1	61	5
1	62	6
1	63	7
1	64	8
1	65	9
1	66	6
1	67	6
1	68	6
1	69	6
