no	ID	x	y
c1	p4701,0-m1	1.378	1.002
c2	p4701,0-m2	3.086	1.002
c3	p4701,0-m3	4.794	1.002
c4	p4701,0-m4	6.502	1.002
c5	p4701,0-m5	8.21	1.002
c6	p4701,0-m6	10.164	1.002
c7	p4701,0-m8	1.378	2.014
c8	p4701,0-m9	3.086	2.014
c9	p4701,0-m10	4.794	2.014
c10	p4701,0-m11	6.502	2.014
c11	p4701,0-m12	8.21	2.014
c12	p4701,0-m13	10.164	2.014
c13	p4701,0-m15	1.378	3.026
c14	p4701,0-m16	3.086	3.026
c15	p4701,0-m17	4.794	3.026
c16	p4701,0-m18	6.502	3.026
c17	p4701,0-m19	8.21	3.026
c18	p4701,0-m20	10.164	3.026
c19	p4701,0-m22	1.378	4.038
c20	p4701,0-m23	3.086	4.038
c21	p4701,0-m24	4.794	4.038
c22	p4701,0-m25	6.502	4.038
c23	p4701,0-m26	8.21	4.038
c24	p4701,0-m27	10.164	4.038
c25	p4701,0-m29	1.378	5.05
c26	p4701,0-m30	3.086	5.05
c27	p4701,0-m31	4.794	5.05
c28	p4701,0-m32	6.502	5.05
c29	p4701,0-m33	8.21	5.05
c30	p4701,0-m34	10.164	5.05
c31	p4701,0-m36	1.378	6.062
c32	p4701,0-m37	3.086	6.062
c33	p4701,0-m38	4.794	6.062
c34	p4701,0-m39	6.502	6.062
c35	p4701,0-m40	8.21	6.062
c36	p4701,0-m41	10.164	6.062
c37	p4701,0-m43	1.378	7.074
c38	p4701,0-m44	3.086	7.074
c39	p4701,0-m45	4.794	7.074
c40	p4701,0-m46	6.502	7.074
c41	p4701,0-m47	8.21	7.074
c42	p4701,0-m48	10.164	7.074
c43	p4701,0-m50	1.378	8.086
c44	p4701,0-m51	3.086	8.086
c45	p4701,0-m52	4.794	8.086
c46	p4701,0-m53	6.502	8.086
c47	p4701,0-m54	8.21	8.086
c48	p4701,0-m55	10.164	8.086
c49	p4701,0-m57	1.378	9.098001
c50	p4701,0-m58	3.086	9.098001
c51	p4701,0-m59	4.794	9.098001
c52	p4701,0-m60	6.502	9.098001
c53	p4701,0-m61	8.21	9.098001
c54	p4701,0-m62	10.164	9.098001
c55	p4701,0-m64	1.378	10.11
c56	p4701,0-m65	3.086	10.11
c57	p4701,0-m66	4.794	10.11
c58	p4701,0-m67	6.502	10.11
c59	p4701,0-m68	8.21	10.11
c60	p4701,0-m69	10.164	10.11
c61	p4701,0-m71	1.378	11.122
c62	p4701,0-m72	3.086	11.122
c63	p4701,0-m73	4.794	11.122
c64	p4701,0-m74	6.502	11.122
c65	p4701,0-m75	8.21	11.122
c66	p4701,0-m76	10.164	11.122
c67	p4701,0-m78	1.378	12.134
c68	p4701,0-m79	3.086	12.134
c69	p4701,0-m80	4.794	12.134
c70	p4701,0-m81	6.502	12.134
c71	p4701,0-m82	8.21	12.134
c72	p4701,0-m83	10.164	12.134
c73	p4701,0-m85	1.378	13.146
c74	p4701,0-m86	3.086	13.146
c75	p4701,0-m87	4.794	13.146
c76	p4701,0-m88	6.502	13.146
c77	p4701,0-m89	8.21	13.146
c78	p4701,0-m90	10.164	13.146
c79	p4701,0-m92	1.378	14.158
c80	p4701,0-m93	3.086	14.158
c81	p4701,0-m94	4.794	14.158
c82	p4701,0-m95	6.502	14.158
c83	p4701,0-m96	8.21	14.158
c84	p4701,0-m97	10.164	14.158
c85	p4701,0-m99	1.378	15.17
c86	p4701,0-m100	3.086	15.17
c87	p4701,0-m101	4.794	15.17
c88	p4701,0-m102	6.502	15.17
c89	p4701,0-m103	8.21	15.17
c90	p4701,0-m104	10.164	15.17
c91	p4701,0-m106	1.378	16.182
c92	p4701,0-m107	3.086	16.182
c93	p4701,0-m108	4.794	16.182
c94	p4701,0-m109	6.502	16.182
c95	p4701,0-m110	8.21	16.182
c96	p4701,0-m111	10.164	16.182
c97	p4701,0-m113	1.378	17.194
c98	p4701,0-m114	3.086	17.194
c99	p4701,0-m115	4.794	17.194
c100	p4701,0-m116	6.502	17.194
c101	p4701,0-m117	8.21	17.194
c102	p4701,0-m118	10.164	17.194
c103	p4701,0-m120	1.378	18.206
c104	p4701,0-m121	3.086	18.206
c105	p4701,0-m122	4.794	18.206
c106	p4701,0-m123	6.502	18.206
c107	p4701,0-m124	8.21	18.206
c108	p4701,0-m125	10.164	18.206
